geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00518	75421	64707	57618	45099	41984	13523
gene-SAOUHSC_00519	64081	71697	48580	53855	44285	10490
gene-SAOUHSC_00520	73580	72207	58256	59925	96642	8681
gene-SAOUHSC_00521	44135	36341	34937	37616	42010	11759
gene-SAOUHSC_00523	8074	8911	6324	5589	6112	2168
gene-SAOUHSC_00524	244542	215333	165961	117347	119462	56557
gene-SAOUHSC_00525	315986	256788	194417	157830	148717	69264
gene-SAOUHSC_00526	20613	19716	13635	12170	7140	1283
gene-SAOUHSC_00527	108935	113899	88986	58799	72434	30147
gene-SAOUHSC_00528	107427	106264	86269	60951	62584	26236
gene-SAOUHSC_00529	532575	519034	403313	333195	301519	194694
gene-SAOUHSC_00530	395018	365231	284394	340902	281967	188055
gene-SAOUHSC_00531	1553	1103	924	3939	5489	1510
gene-SAOUHSC_00532	6364	5802	4391	16329	24309	3648
gene-SAOUHSC_00533	8311	6549	3479	21325	67400	8546
gene-SAOUHSC_00534	870	656	550	1316	2105	310
gene-SAOUHSC_00535	25146	21391	18477	5118	5412	843
gene-SAOUHSC_00536	4063	3871	2654	19488	24008	5111
gene-SAOUHSC_00537	311	277	263	1670	2747	169
gene-SAOUHSC_00538	383	300	270	1860	2843	463
gene-SAOUHSC_00539	1024	706	698	972	1261	152
gene-SAOUHSC_00540	98	71	89	393	302	25
gene-SAOUHSC_00541	192	131	127	471	506	156
gene-SAOUHSC_00542	863	488	615	1451	1972	190
gene-SAOUHSC_00543	1439	779	1135	1304	1612	155
gene-SAOUHSC_00544	32502	19850	38660	3826	4451	2867
gene-SAOUHSC_00545	15177	11873	15551	6857	5842	2281
gene-SAOUHSC_00547	1271	919	902	2813	3311	224
gene-SAOUHSC_00548	5442	3979	4598	3972	4428	327
gene-SAOUHSC_00549	11161	9064	7094	7005	6859	1028
gene-SAOUHSC_00550	6257	4846	3743	5048	5658	1282
gene-SAOUHSC_00551	3362	2648	2149	4069	4913	593
gene-SAOUHSC_00552	1399	1309	846	1713	1920	150
gene-SAOUHSC_00553	3161	3191	1897	9193	14734	3348
gene-SAOUHSC_00554	3597	3778	2179	10511	16158	8551
gene-SAOUHSC_00555	328	229	195	314	295	215
gene-SAOUHSC_00556	11294	9525	10611	3252	4489	987
gene-SAOUHSC_00557	218	136	137	137	124	16
gene-SAOUHSC_00558	496	384	368	577	679	350
gene-SAOUHSC_00559	62	47	57	87	127	30
gene-SAOUHSC_00560	135	73	87	98	122	10
gene-SAOUHSC_00561	234204	188682	176855	48742	19809	901
gene-SAOUHSC_00562	2843	2371	2469	6137	8863	2228
gene-SAOUHSC_00564	694	640	536	962	1190	228
gene-SAOUHSC_00565	704	626	569	783	1235	224
gene-SAOUHSC_00567	697	518	506	537	833	206
gene-SAOUHSC_00569	23990	31558	17575	74353	101476	27015
gene-SAOUHSC_00571	592	450	413	865	1025	183
gene-SAOUHSC_00572	769	603	560	1490	1791	210
gene-SAOUHSC_00573	3001	2339	1343	5003	5217	421
gene-SAOUHSC_00574	23871	20764	19838	21184	16778	4616
gene-SAOUHSC_00575	23365	17353	19445	16258	12426	1835
gene-SAOUHSC_00577	4720	4390	3990	1928	2309	505
gene-SAOUHSC_00578	8280	8750	6865	5494	5604	4287
gene-SAOUHSC_00579	10042	10038	8330	8168	7446	4207
gene-SAOUHSC_00580	5553	4253	4783	1123	1466	137
gene-SAOUHSC_00581	10156	6038	5080	1624	2386	361
gene-SAOUHSC_00582	2103	1270	1038	278	501	28
gene-SAOUHSC_00583	21	16	28	7	3	0
gene-SAOUHSC_00584	1038	939	824	980	1749	215
gene-SAOUHSC_00585	41	23	35	68	121	34
gene-SAOUHSC_00586	189	145	146	177	230	52
gene-SAOUHSC_00587	306	206	212	236	282	55
gene-SAOUHSC_00588	223	160	201	181	188	33
gene-SAOUHSC_00589	153	103	148	121	190	8
gene-SAOUHSC_00591	158	119	132	126	179	22
gene-SAOUHSC_00592	274	178	213	218	361	33
gene-SAOUHSC_00593	119	61	92	130	160	14
gene-SAOUHSC_00595	16	1	22	35	66	3
gene-SAOUHSC_00596	60	45	52	64	49	14
gene-SAOUHSC_00598	140	89	102	94	120	8
gene-SAOUHSC_00599	93	59	110	137	184	14
gene-SAOUHSC_00600	181	124	103	118	186	16
gene-SAOUHSC_00602	168	96	101	141	198	62
gene-SAOUHSC_00603	1382	1148	927	1821	2663	561
gene-SAOUHSC_00604	4431	4895	2266	9949	13665	1377
gene-SAOUHSC_00605	603	347	343	1319	2030	90
gene-SAOUHSC_00606	4467	2986	2481	6125	7861	965
gene-SAOUHSC_00607	2723	1856	1616	3170	3430	477
gene-SAOUHSC_00608	3989	3339	2231	56276	82046	16080
gene-SAOUHSC_00609	6	5	5	74	39	10
gene-SAOUHSC_00610	609	459	448	1367	2051	71
gene-SAOUHSC_00611	4157	2538	3146	6344	7642	469
gene-SAOUHSC_00612	133	80	97	102	132	25
gene-SAOUHSC_00613	1757	931	1233	1582	1872	133
gene-SAOUHSC_00614	454	383	296	1455	2424	107
gene-SAOUHSC_00615	757	527	479	1644	2040	215
gene-SAOUHSC_00616	1499	1034	1084	2004	2715	188
gene-SAOUHSC_00617	38821	34659	19344	48217	43409	18509
gene-SAOUHSC_00618	2682	2026	2196	4131	6598	381
gene-SAOUHSC_00619	4866	5932	3490	12177	18403	1509
gene-SAOUHSC_00620	33516	33581	23872	97804	123886	18196
gene-SAOUHSC_00621	752	596	492	1466	2319	228
gene-SAOUHSC_00622	516	295	302	213	341	32
gene-SAOUHSC_00624	3394	3320	2694	3497	5000	330
gene-SAOUHSC_00625	13638	13474	9640	17865	25419	3886
gene-SAOUHSC_00626	2026	1939	1622	2967	4561	792
gene-SAOUHSC_00627	1354	1263	952	1845	3396	603
gene-SAOUHSC_00628	7388	8075	5643	11817	19715	3846
gene-SAOUHSC_00629	788	678	640	1573	2755	441
gene-SAOUHSC_00630	59	38	41	49	63	11
gene-SAOUHSC_00632	4854	4147	2969	6688	9463	1389
gene-SAOUHSC_00633	12190	9980	6702	14551	15930	1786
gene-SAOUHSC_00634	29477	22900	25661	14503	26150	2754
gene-SAOUHSC_00636	12129	9055	10977	7468	14621	609
gene-SAOUHSC_00637	10538	7704	6952	13235	23770	2286
gene-SAOUHSC_00638	8024	5493	6136	4708	5200	959
gene-SAOUHSC_00639	3330	2138	2583	1155	1255	312
gene-SAOUHSC_00640	1300	873	975	2115	3064	397
gene-SAOUHSC_00641	9760	7584	7915	6834	7574	1650
gene-SAOUHSC_00642	9408	7231	8079	7386	8064	307
gene-SAOUHSC_00643	2406	1759	1954	2312	3090	308
gene-SAOUHSC_00644	2965	2289	2613	2159	3227	232
gene-SAOUHSC_00645	1570	1155	1499	1111	1448	286
gene-SAOUHSC_00646	4494	3759	3889	3824	6088	669
gene-SAOUHSC_00647	61974	40625	43561	14499	15425	2748
gene-SAOUHSC_00648	11130	7408	9484	8753	9338	2242
gene-SAOUHSC_00650	18	19	21	7	13	1
gene-SAOUHSC_00651	3318	2665	2943	2370	3741	512
gene-SAOUHSC_00652	4583	3842	2829	5072	8039	1012
gene-SAOUHSC_00653	2670	2087	1670	1872	2610	401
gene-SAOUHSC_00654	5148	3976	3363	3015	4649	721
gene-SAOUHSC_00655	1491	1516	728	2546	4102	1024
gene-SAOUHSC_00656	978	1034	577	1502	3289	732
gene-SAOUHSC_00658	626	553	345	743	1559	175
gene-SAOUHSC_00659	11100	9519	7610	17416	13859	503
gene-SAOUHSC_00660	25801	27570	33297	9824	9923	2300
gene-SAOUHSC_00661	1290	1092	1154	1067	1321	102
gene-SAOUHSC_00662	5179	3628	4256	1387	1201	94
gene-SAOUHSC_00663	1833	1305	762	2544	2021	146
gene-SAOUHSC_00664	1434	1255	996	2124	3033	181
gene-SAOUHSC_00665	1085	782	782	1187	1166	113
gene-SAOUHSC_00666	1844	1261	1328	1760	2150	256
gene-SAOUHSC_00667	2196	1752	1463	9096	15207	1548
gene-SAOUHSC_00668	5594	4282	4504	10630	19249	594
gene-SAOUHSC_00669	3918	3380	3655	4450	5148	366
gene-SAOUHSC_00670	9005	7887	6715	6675	5857	1513
gene-SAOUHSC_00671	1765	1545	1639	7470	4278	2184
gene-SAOUHSC_00672	2618	1857	1712	2707	3126	219
gene-SAOUHSC_00673	960	595	768	842	1428	98
gene-SAOUHSC_00674	224	103	191	675	2010	43
gene-SAOUHSC_00675	6347	5058	4696	5775	6589	1547
gene-SAOUHSC_00676	4884	3706	3650	3930	3515	872
gene-SAOUHSC_00677	7	2	7	16	13	1
gene-SAOUHSC_00678	1843	1619	1253	4770	7082	453
gene-SAOUHSC_00679	3881	3379	2918	6782	9227	538
gene-SAOUHSC_00680	572	462	489	791	1791	211
gene-SAOUHSC_00681	3164	2669	2144	3683	4452	554
gene-SAOUHSC_00682	1168	900	947	1684	2123	186
gene-SAOUHSC_00683	451	305	303	1322	1729	101
gene-SAOUHSC_00684	113	66	90	177	217	29
gene-SAOUHSC_00685	964	613	566	1975	2734	163
gene-SAOUHSC_00686	1901	1695	1157	6333	6775	615
gene-SAOUHSC_00687	352	265	254	839	836	174
gene-SAOUHSC_00688	4491	4673	2581	18299	13751	10966
gene-SAOUHSC_00689	2664	2601	1704	11143	10731	3422
gene-SAOUHSC_00690	4651	4160	2795	21090	21746	3394
gene-SAOUHSC_00691	2388	1936	1839	3610	6262	1255
gene-SAOUHSC_00692	5944	4305	4038	6833	8299	1524
gene-SAOUHSC_00693	8477	6771	5915	9521	9818	1005
gene-SAOUHSC_00694	77543	80284	64229	81802	75764	10067
gene-SAOUHSC_00695	1288	986	794	1796	1409	275
gene-SAOUHSC_00696	2767	2068	1989	3244	4635	649
gene-SAOUHSC_00697	381	178	372	485	563	47
gene-SAOUHSC_00698	3101	2196	2539	2447	3125	680
gene-SAOUHSC_00699	7423	5802	6371	6925	9832	1908
gene-SAOUHSC_00700	940	603	664	854	767	97
gene-SAOUHSC_00701	527	308	647	794	1226	127
gene-SAOUHSC_00702	497	371	414	611	483	34
gene-SAOUHSC_00703	2109	1825	1877	2011	2433	399
gene-SAOUHSC_00704	638	465	696	1164	1463	91
gene-SAOUHSC_00705	493	320	393	439	932	98
gene-SAOUHSC_00706	8443	6345	6159	2776	5877	823
gene-SAOUHSC_00707	11641	10484	8389	4327	14959	6572
gene-SAOUHSC_00708	47721	40060	33422	29954	67165	18199
gene-SAOUHSC_00709	2	0	4	2	0	0
gene-SAOUHSC_00710	1194	868	640	1444	1897	380
gene-SAOUHSC_00711	5450	4549	3440	16401	17480	1653
gene-SAOUHSC_00712	615	549	278	3476	5058	1339
gene-SAOUHSC_00713	2043	1718	1246	9978	10860	1802
gene-SAOUHSC_00714	48457	33902	27477	35502	40207	1768
gene-SAOUHSC_00715	31262	22368	17717	27992	31602	1856
gene-SAOUHSC_00716	15999	11203	9129	18462	15615	996
gene-SAOUHSC_00717	24891	16951	13065	24414	23660	471
gene-SAOUHSC_00718	2242	1204	2414	1396	1481	204
gene-SAOUHSC_00719	8418	6460	7613	3098	4418	1276
gene-SAOUHSC_00720	3028	2531	2809	1207	1874	134
gene-SAOUHSC_00721	3299	2542	3208	1053	1892	140
gene-SAOUHSC_00722	263	191	186	234	229	58
gene-SAOUHSC_00723	933	632	717	653	926	259
gene-SAOUHSC_00724	729	569	623	591	895	96
gene-SAOUHSC_00725	318	270	319	546	557	25
gene-SAOUHSC_00726	1741	1306	1464	2071	2769	250
gene-SAOUHSC_00727	3057	2316	2599	3125	3803	799
gene-SAOUHSC_00728	253031	171128	214652	75647	61683	6234
gene-SAOUHSC_00729	18114	12038	13702	9815	14210	2334
gene-SAOUHSC_00730	32536	19892	25390	14405	21468	2183
gene-SAOUHSC_00731	1884	1769	1048	5275	7339	2811
gene-SAOUHSC_00732	5439	4070	3274	8838	11571	1629
gene-SAOUHSC_00733	613	541	399	6423	8433	1047
gene-SAOUHSC_00734	1926	1299	1246	4936	6332	480
gene-SAOUHSC_00735	280	199	203	490	753	143
gene-SAOUHSC_00736	9775	10394	6473	19238	17954	3397
gene-SAOUHSC_00737	12	9	13	16	25	4
gene-SAOUHSC_00738	6704	6341	4072	40659	41862	9074
gene-SAOUHSC_00739	2490	1984	2106	1489	1940	499
gene-SAOUHSC_00740	3368	2629	2780	2400	3216	172
gene-SAOUHSC_00741	3867	2814	2602	10572	13056	1790
gene-SAOUHSC_00742	37672	25866	23974	93202	110688	12694
gene-SAOUHSC_00743	18409	12802	11852	52090	59337	5634
gene-SAOUHSC_00744	38	14	22	15	12	14
gene-SAOUHSC_00745	6	0	5	1	3	4
gene-SAOUHSC_00746	721	691	487	446	498	55
gene-SAOUHSC_00747	581	437	475	199	230	3
gene-SAOUHSC_00748	738	557	529	177	202	19
gene-SAOUHSC_00749	1614	1244	1224	587	872	93
gene-SAOUHSC_00751	1273	1004	947	1481	1698	185
gene-SAOUHSC_00752	2023	1413	1305	2409	2363	556
gene-SAOUHSC_00753	226	204	181	397	520	21
gene-SAOUHSC_00754	1886	1134	1395	1317	1689	97
gene-SAOUHSC_00755	9322	8248	6638	4209	4794	328
gene-SAOUHSC_00756	4720	4607	3363	3810	4847	1396
gene-SAOUHSC_00757	9730	6532	6746	6531	7792	2025
gene-SAOUHSC_00758	537	340	325	499	664	96
gene-SAOUHSC_00759	417	257	233	530	535	57
gene-SAOUHSC_00760	26113	19936	27084	4420	3989	320
gene-SAOUHSC_00762	2873	2056	2298	4074	5957	666
gene-SAOUHSC_00763	2065	1468	1043	2788	2899	891
gene-SAOUHSC_00764	5005	3396	3802	3951	2501	331
gene-SAOUHSC_00765	666	625	638	230	196	9
gene-SAOUHSC_00766	688	505	523	351	430	66
gene-SAOUHSC_00767	20559	17575	10762	51295	69073	7107
gene-SAOUHSC_00769	41962	32444	25695	44387	55148	14931
gene-SAOUHSC_00770	87	63	82	103	128	42
gene-SAOUHSC_00771	3909	2676	2851	4254	6798	2157
gene-SAOUHSC_00772	7	7	6	1	5	1
gene-SAOUHSC_00773	1279	977	1056	423	615	51
gene-SAOUHSC_00774	624	296	352	1906	2965	147
gene-SAOUHSC_00775	194	86	97	523	596	23
gene-SAOUHSC_00776	5862	4240	4317	2417	2577	460
gene-SAOUHSC_00778	0	0	0	0	0	0
gene-SAOUHSC_00779	8749	6219	6688	3902	4245	612
gene-SAOUHSC_00780	35340	25796	29182	16032	15666	5613
gene-SAOUHSC_00781	1942	1909	1095	6368	9535	1595
gene-SAOUHSC_00782	743	711	442	2817	4626	923
gene-SAOUHSC_00783	529	470	337	1612	2533	319
gene-SAOUHSC_00784	2385	1915	1476	4953	5856	394
gene-SAOUHSC_00785	9105	7388	4074	15582	20821	7303
gene-SAOUHSC_00786	152	96	64	131	123	88
gene-SAOUHSC_00787	3439	3462	2153	5131	8642	881
gene-SAOUHSC_00788	11253	12405	7198	27083	35671	16630
gene-SAOUHSC_00789	16690	16050	10704	28156	39145	8219
gene-SAOUHSC_00790	18803	14902	11111	13539	10573	1378
gene-SAOUHSC_00792	2852	2652	1968	14501	15595	4410
gene-SAOUHSC_00793	6305	6813	4671	24608	44923	15556
gene-SAOUHSC_00794	38912	30667	24771	102675	75126	33579
gene-SAOUHSC_00795	58081	48014	34791	302372	267899	94071
gene-SAOUHSC_00796	14406	10605	8404	85803	81285	21490
gene-SAOUHSC_00797	14066	11654	8905	78515	89413	22286
gene-SAOUHSC_00798	28591	22088	17342	147497	154738	86989
gene-SAOUHSC_00799	39810	31275	21501	154310	149135	104263
gene-SAOUHSC_00800	3622	2708	3228	5201	5066	155
gene-SAOUHSC_00801	9441	9023	7161	8399	13567	5838
gene-SAOUHSC_00802	16357	17086	14756	9209	12666	1996
gene-SAOUHSC_00803	71648	74816	63065	49424	56649	11397
gene-SAOUHSC_00804	15785	15731	13624	10845	14588	3460
gene-SAOUHSC_00805	79	61	66	47	27	7
gene-SAOUHSC_00806	1285	741	1352	340	549	46
gene-SAOUHSC_00807	868	492	645	210	247	50
gene-SAOUHSC_00808	2188	1360	1866	881	978	85
gene-SAOUHSC_00809	10	10	6	6	3	1
gene-SAOUHSC_00810	175	205	149	501	907	133
gene-SAOUHSC_00811	807	759	660	1579	2948	492
gene-SAOUHSC_00812	116443	118912	74608	123854	112816	131121
gene-SAOUHSC_00813	130	122	105	165	72	20
gene-SAOUHSC_00814	2632	1737	1687	2337	823	108
gene-SAOUHSC_00816	698	510	416	1824	1533	164
gene-SAOUHSC_00817	443	362	222	952	858	257
gene-SAOUHSC_00818	266	120	165	47	56	5
gene-SAOUHSC_00819	53125	38401	33193	91803	61620	14282
gene-SAOUHSC_00820	1802	1599	1340	3072	2734	277
gene-SAOUHSC_00821	895	900	650	1796	1631	207
gene-SAOUHSC_00822	397	316	225	889	1180	314
gene-SAOUHSC_00823	966	730	916	2295	1936	227
gene-SAOUHSC_00824	914	679	757	2091	2744	315
gene-SAOUHSC_00825	916	688	709	442	402	41
gene-SAOUHSC_00826	4207	4451	2833	15010	14503	943
gene-SAOUHSC_00827	7128	5394	6435	1560	1309	451
gene-SAOUHSC_00828	1687	1270	1363	6126	5581	538
gene-SAOUHSC_00830	8450	6929	6842	7180	6310	468
gene-SAOUHSC_00831	2539	2853	1748	6435	7528	3528
gene-SAOUHSC_00832	686	509	466	492	568	35
gene-SAOUHSC_00833	8677	6901	5846	4300	6524	1394
gene-SAOUHSC_00834	1664	1240	747	2728	2236	838
gene-SAOUHSC_00835	478	368	222	3169	5477	129
gene-SAOUHSC_00836	4285	3574	2621	12062	16749	1048
gene-SAOUHSC_00837	48	52	53	75	150	7
gene-SAOUHSC_00838	1450	1486	1044	1154	1142	112
gene-SAOUHSC_00839	198	185	125	148	143	54
gene-SAOUHSC_00840	1029	1058	748	1578	1385	219
gene-SAOUHSC_00841	548	615	503	1069	1213	157
gene-SAOUHSC_00842	13425	10489	13030	30901	54378	11177
gene-SAOUHSC_00843	7154	5642	6571	10900	20501	3881
gene-SAOUHSC_00844	15526	11137	15816	16747	37269	3105
gene-SAOUHSC_00845	69775	55276	37176	123549	130590	5873
gene-SAOUHSC_00846	989	802	982	469	360	81
gene-SAOUHSC_00847	55300	57319	42865	26856	26486	6121
gene-SAOUHSC_00848	106402	99258	80053	44445	37273	8554
gene-SAOUHSC_00849	117981	110296	90341	45671	47380	19394
gene-SAOUHSC_00850	52086	50217	41232	18509	21143	7134
gene-SAOUHSC_00851	130120	113501	98263	50105	61997	9560
gene-SAOUHSC_00852	47	48	46	14	19	5
gene-SAOUHSC_00853	82	53	80	296	181	17
gene-SAOUHSC_00854	1804	1641	1173	6060	6976	1413
gene-SAOUHSC_00855	1133	1041	707	3043	4040	2358
gene-SAOUHSC_00857	42	51	40	47	82	47
gene-SAOUHSC_00858	940	785	523	1451	1721	127
gene-SAOUHSC_00859	632	455	393	958	1107	232
gene-SAOUHSC_00860	1948	1547	1104	2664	3273	374
gene-SAOUHSC_00861	10379	9780	7147	17733	19060	4103
gene-SAOUHSC_00862	724	648	467	1360	1375	140
gene-SAOUHSC_00863	916	695	585	882	1013	46
gene-SAOUHSC_00864	312	298	214	903	1075	47
gene-SAOUHSC_00865	941	727	647	1988	2032	338
gene-SAOUHSC_00866	2100	1670	1370	2913	3486	648
gene-SAOUHSC_00867	1	1	1	2	4	1
gene-SAOUHSC_00868	342	346	425	2258	8216	188
gene-SAOUHSC_00869	12514	11092	8870	35810	54172	3394
gene-SAOUHSC_00870	7201	5764	5714	14860	14846	649
gene-SAOUHSC_00871	1690	1323	1671	3093	5543	179
gene-SAOUHSC_00872	12420	9603	9068	18457	19938	1041
gene-SAOUHSC_00873	7052	4420	4496	6269	5393	988
gene-SAOUHSC_00874	1115	571	876	448	452	51
gene-SAOUHSC_00875	10975	8542	7068	8875	8259	3329
gene-SAOUHSC_00876	1221	888	588	1908	2989	456
gene-SAOUHSC_00877	1822	1469	904	3007	3139	817
gene-SAOUHSC_00878	17384	13376	10671	25466	27384	6369
gene-SAOUHSC_00879	1879	1409	941	2514	3579	477
gene-SAOUHSC_00880	7851	6797	5251	9878	6269	1062
gene-SAOUHSC_00881	4854	4090	3185	4581	4762	768
gene-SAOUHSC_00882	8250	4290	3464	261	409	63
gene-SAOUHSC_00883	2493	1633	1699	3722	4527	457
gene-SAOUHSC_00884	818	684	528	1438	1458	746
gene-SAOUHSC_00885	2968	2504	2383	5458	9297	809
gene-SAOUHSC_00886	7351	6391	5102	13629	16177	2387
gene-SAOUHSC_00887	1762	1535	1175	3434	5223	505
gene-SAOUHSC_00888	1723	1438	1200	3769	4474	502
gene-SAOUHSC_00889	8183	7277	5172	21621	28349	4067
gene-SAOUHSC_00890	117	97	70	419	516	49
gene-SAOUHSC_00891	4538	3293	2606	5104	5252	2591
gene-SAOUHSC_00892	5864	5383	3671	7004	8802	2176
gene-SAOUHSC_00893	1297	1062	605	3196	5529	1752
gene-SAOUHSC_00894	5307	5801	2901	15393	19632	2767
gene-SAOUHSC_00895	17344	17108	10789	24278	31566	7523
gene-SAOUHSC_00896	2066	1857	1083	862	869	940
gene-SAOUHSC_00897	986	728	903	633	940	105
gene-SAOUHSC_00898	33102	29841	43766	1144	7400	570
gene-SAOUHSC_00899	16689	14974	21728	944	7085	1310
gene-SAOUHSC_00900	9514	6811	5244	21625	21602	3191
gene-SAOUHSC_00901	1696	1314	1234	4050	7035	393
gene-SAOUHSC_00902	2245	2037	1720	3726	5691	1127
gene-SAOUHSC_00903	2725	2362	1684	2768	3577	268
gene-SAOUHSC_00904	5459	4790	3943	5881	7322	880
gene-SAOUHSC_00905	12633	10259	9462	10773	12859	2381
gene-SAOUHSC_00906	9438	7600	5742	20138	25630	7527
gene-SAOUHSC_00907	1439	965	931	1397	1505	490
gene-SAOUHSC_00908	6047	5351	3358	11776	13226	4784
gene-SAOUHSC_00909	2245	1954	1284	3685	4016	701
gene-SAOUHSC_00910	2896	3094	1917	5839	7460	913
gene-SAOUHSC_00911	2616	1520	1692	533	526	37
gene-SAOUHSC_00912	372607	362999	243715	59408	19052	1762
gene-SAOUHSC_00913	73	37	47	51	54	1
gene-SAOUHSC_00914	608	889	603	48	38	3
gene-SAOUHSC_00915	309	452	387	73	85	7
gene-SAOUHSC_00916	207	207	192	93	72	10
gene-SAOUHSC_00917	195	266	160	140	181	20
gene-SAOUHSC_00918	2053	1632	1732	677	634	473
gene-SAOUHSC_00919	1622	1280	985	3819	2761	122
gene-SAOUHSC_00920	1950	1597	1534	4071	7671	3227
gene-SAOUHSC_00921	8427	6799	5995	17830	27799	16716
gene-SAOUHSC_00922	65	25	27	232	170	6
gene-SAOUHSC_00923	486	396	359	5195	4809	465
gene-SAOUHSC_00924	686	583	551	4849	5579	1098
gene-SAOUHSC_00925	1422	1323	1350	7960	11679	3111
gene-SAOUHSC_00926	1697	1277	1688	8332	12515	3050
gene-SAOUHSC_00927	7180	4891	6364	22767	30859	6624
gene-SAOUHSC_00928	509	261	277	452	712	109
gene-SAOUHSC_00929	153	100	88	157	254	19
gene-SAOUHSC_00930	179	102	92	138	239	53
gene-SAOUHSC_00931	191	93	125	152	241	22
gene-SAOUHSC_00932	587	333	372	360	489	125
gene-SAOUHSC_00933	3973	2698	3251	5121	6426	539
gene-SAOUHSC_00934	379418	308335	284586	204642	253736	36768
gene-SAOUHSC_00935	34419	29971	19350	31723	39802	3350
gene-SAOUHSC_00936	226	197	204	52	72	6
gene-SAOUHSC_00937	1246	834	709	5930	8277	825
gene-SAOUHSC_00938	3349	2496	2139	3542	4270	468
gene-SAOUHSC_00939	1283	921	748	2173	2580	194
gene-SAOUHSC_00940	465	336	228	1249	961	71
gene-SAOUHSC_00941	1462	1195	981	2085	2993	121
gene-SAOUHSC_00942	3894	3324	2527	4822	6833	964
gene-SAOUHSC_00943	6783	5615	4399	7077	7946	1533
gene-SAOUHSC_00944	2110	1620	1511	2337	3284	468
gene-SAOUHSC_00945	3453	3090	2646	3867	6274	1150
gene-SAOUHSC_00946	6035	4960	4647	7483	8814	1209
gene-SAOUHSC_00947	11121	8688	7356	13936	13766	1614
gene-SAOUHSC_00948	3884	3159	2851	12068	12033	667
gene-SAOUHSC_00949	667	787	428	17299	19932	2320
gene-SAOUHSC_00950	732	627	528	2336	2362	253
gene-SAOUHSC_00951	9949	7045	6434	14031	15325	1086
gene-SAOUHSC_00952	6645	4369	4475	3365	2938	254
gene-SAOUHSC_00953	7221	5328	4828	5814	6728	610
gene-SAOUHSC_00954	4740	3910	3785	4826	6193	1669
gene-SAOUHSC_00955	901	624	924	750	1434	198
gene-SAOUHSC_00956	10806	7927	9396	7661	9856	2202
gene-SAOUHSC_00957	3669	3269	2336	8393	6968	4119
gene-SAOUHSC_00958	2406	1766	1818	2146	3022	267
gene-SAOUHSC_00959	7241	5311	5896	4595	5672	541
gene-SAOUHSC_00960	2514	1589	1680	4311	4774	723
gene-SAOUHSC_00961	15842	9816	17320	531	542	52
gene-SAOUHSC_00962	2813	2993	1622	40507	64253	13493
gene-SAOUHSC_00963	1404	1004	842	1875	3326	218
gene-SAOUHSC_00964	1799	1597	1248	2169	2368	79
gene-SAOUHSC_00965	6153	4408	5028	7767	6076	685
gene-SAOUHSC_00966	2150	1761	995	1996	619	1522
gene-SAOUHSC_00967	3	0	2	2	10	1
gene-SAOUHSC_00968	294	196	236	889	922	120
gene-SAOUHSC_00969	200	124	192	218	288	26
gene-SAOUHSC_00970	540	344	383	380	295	49
gene-SAOUHSC_00971	997	535	1015	1018	280	39
gene-SAOUHSC_00972	110	78	79	383	362	22
gene-SAOUHSC_00973	345	239	315	980	795	75
gene-SAOUHSC_00974	2153	1376	1445	1503	1639	88
gene-SAOUHSC_00975	755	516	486	4108	3545	98
gene-SAOUHSC_00976	901	671	699	290	272	57
gene-SAOUHSC_00977	505	491	278	2344	2829	211
gene-SAOUHSC_00978	72	60	63	155	115	8
gene-SAOUHSC_00979	285	186	132	630	676	66
gene-SAOUHSC_00980	8207	5110	6823	3976	4373	481
gene-SAOUHSC_00981	293	209	159	149	110	21
gene-SAOUHSC_00982	2564	1796	1571	1331	1416	121
gene-SAOUHSC_00983	7272	5430	4015	6672	8528	2121
gene-SAOUHSC_00984	4894	3288	3059	3685	4220	659
gene-SAOUHSC_00985	12055	9462	6890	11669	11474	3673
gene-SAOUHSC_00986	2088	1084	1801	315	434	50
gene-SAOUHSC_00987	5706	3158	5338	947	1055	126
gene-SAOUHSC_00988	3974	2114	3861	434	511	176
gene-SAOUHSC_00989	2346	2186	1627	8548	13251	1410
gene-SAOUHSC_00991	626	535	555	1341	1177	73
gene-SAOUHSC_00992	1622	1052	1441	292	256	16
gene-SAOUHSC_00993	341	224	298	64	40	2
gene-SAOUHSC_00994	24806	23608	23570	61917	62241	18941
gene-SAOUHSC_00995	362	306	271	637	802	184
gene-SAOUHSC_00996	14181	8599	10080	7537	9184	575
gene-SAOUHSC_00997	26300	17365	19695	16162	23753	3260
gene-SAOUHSC_00998	12237	7957	11557	1952	1819	74
gene-SAOUHSC_00999	12068	11173	7217	19427	14730	2406
gene-SAOUHSC_01000	24883	23293	16731	39738	40259	10839
gene-SAOUHSC_01001	73140	72114	53931	131846	149110	56559
gene-SAOUHSC_01002	30515	31981	23015	71496	85667	18340
gene-SAOUHSC_01003	56	15	53	28	38	3
gene-SAOUHSC_01005	24432	20319	18213	9885	18148	765
gene-SAOUHSC_01007	19911	14107	13923	12064	15055	1729
gene-SAOUHSC_01008	1668	1878	1154	7003	7398	3196
gene-SAOUHSC_01009	4823	5510	3678	14320	23927	3868
gene-SAOUHSC_01010	1445	1566	1091	4054	7328	1800
gene-SAOUHSC_01011	1205	1138	885	2927	3579	460
gene-SAOUHSC_01012	3507	3499	2678	7500	13424	2263
gene-SAOUHSC_01013	19813	17703	14720	41406	42649	14893
