geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00119	2545	2925	1618	5292	14248	2415
gene-SAOUHSC_00120	2562	3049	1703	5777	14370	5609
gene-SAOUHSC_00121	1146	1170	749	2615	6818	1690
gene-SAOUHSC_00122	1757	1767	1082	4106	10804	1374
gene-SAOUHSC_00123	1168	1128	741	2866	7613	2216
gene-SAOUHSC_00124	780	701	617	2147	5625	727
gene-SAOUHSC_00125	2595	2672	1650	4496	14896	4655
gene-SAOUHSC_00126	1256	1279	845	2140	8506	3406
gene-SAOUHSC_00127	2462	2415	1591	3994	10900	1827
gene-SAOUHSC_00128	3688	3604	2227	5337	17673	5630
gene-SAOUHSC_00129	4251	3918	2775	5592	15482	5476
gene-SAOUHSC_00130	1116	922	740	597	884	56
gene-SAOUHSC_00131	790	649	542	494	741	40
gene-SAOUHSC_00132	12657	13627	4569	22244	33426	3103
gene-SAOUHSC_00133	662	568	387	1370	1582	175
gene-SAOUHSC_00134	37	32	16	111	64	10
gene-SAOUHSC_00135	1481	845	956	264	334	114
gene-SAOUHSC_00136	381	199	222	32	40	10
gene-SAOUHSC_00137	591	338	345	84	117	59
gene-SAOUHSC_00138	475	271	262	71	99	17
gene-SAOUHSC_00139	1339	793	843	1028	1832	291
gene-SAOUHSC_00141	32103	19884	20488	5670	5404	286
gene-SAOUHSC_00142	1827	1675	1179	268	243	84
gene-SAOUHSC_00143	11603	6009	6867	1924	2346	316
gene-SAOUHSC_00144	133478	77117	76447	59947	68308	14112
gene-SAOUHSC_00145	20790	12245	11767	7454	7441	1048
gene-SAOUHSC_00146	3879	2162	3246	3690	3457	1959
gene-SAOUHSC_00147	3037	1616	2711	401	476	55
gene-SAOUHSC_00148	3230	1810	3031	425	596	148
gene-SAOUHSC_00149	867	467	736	153	216	37
gene-SAOUHSC_00150	1031	618	980	152	287	41
gene-SAOUHSC_00151	2123	1536	1619	6705	7511	351
gene-SAOUHSC_00152	1632	1331	832	874	848	327
gene-SAOUHSC_00153	2765	2470	1271	1420	2966	425
gene-SAOUHSC_00154	48	25	26	14	5	0
gene-SAOUHSC_00155	5540	3516	3561	13115	13125	3485
gene-SAOUHSC_00156	3169	3882	2092	6905	16977	1778
gene-SAOUHSC_00157	1944	2726	1402	2485	8044	2505
gene-SAOUHSC_00158	3447	4514	2319	3406	9298	2966
gene-SAOUHSC_00160	2640	3070	1715	1785	3747	385
gene-SAOUHSC_00161	96	40	49	83	146	9
gene-SAOUHSC_00162	2861	2416	1785	4412	5699	664
gene-SAOUHSC_00163	1203	1028	744	3106	4824	249
gene-SAOUHSC_00164	1177	1102	674	2670	3148	290
gene-SAOUHSC_00166	1713	1562	1108	2861	5060	486
gene-SAOUHSC_00167	3939	2479	2813	638	766	198
gene-SAOUHSC_00168	182	123	100	67	67	16
gene-SAOUHSC_00169	216	119	130	90	108	27
gene-SAOUHSC_00170	797	378	438	296	486	92
gene-SAOUHSC_00171	1229	677	678	729	1010	269
gene-SAOUHSC_00172	2638	2127	2225	420	399	24
gene-SAOUHSC_00173	41438	25080	35632	1120	1476	87
gene-SAOUHSC_00174	2959	3364	1793	1741	2418	490
gene-SAOUHSC_00175	301	257	184	239	366	77
gene-SAOUHSC_00176	783	736	551	142	259	60
gene-SAOUHSC_00177	944	960	702	165	336	80
gene-SAOUHSC_00178	760	792	558	194	244	31
gene-SAOUHSC_00179	1445	1554	1066	327	534	220
gene-SAOUHSC_00180	1470	1508	1048	344	472	169
gene-SAOUHSC_00181	1934	1977	1334	528	564	119
gene-SAOUHSC_00182	670	432	466	874	978	43
gene-SAOUHSC_00183	3311	4680	3642	2290	1405	592
gene-SAOUHSC_00184	503	284	392	520	586	94
gene-SAOUHSC_00185	732	453	487	828	1340	144
gene-SAOUHSC_00186	335	206	221	646	754	108
gene-SAOUHSC_00187	12113	9785	6936	116319	175162	49258
gene-SAOUHSC_00188	5522	4098	3005	39543	71178	27119
gene-SAOUHSC_00189	67	46	37	172	435	45
gene-SAOUHSC_00190	1269	810	882	1517	2064	199
gene-SAOUHSC_00191	4068	3294	2184	4827	4524	96
gene-SAOUHSC_00192	5706	9032	5049	5823	2873	288
gene-SAOUHSC_00193	28	36	19	16	13	0
gene-SAOUHSC_00194	391	570	326	111	172	34
gene-SAOUHSC_00195	2905	5481	1975	793	1810	493
gene-SAOUHSC_00196	3699	8262	2438	1641	5388	569
gene-SAOUHSC_00197	1675	5127	1112	1776	5252	859
gene-SAOUHSC_00198	3060	7989	1762	7321	14191	1254
gene-SAOUHSC_00199	3915	9159	2068	23753	38376	4520
gene-SAOUHSC_00200	993	553	650	893	1260	168
gene-SAOUHSC_00201	2522	1256	1884	1263	1486	141
gene-SAOUHSC_00202	102	46	29	233	391	72
gene-SAOUHSC_00203	145	70	72	459	737	102
